START	END
1007640787	1007640797
1007640799	1007641749
1007641751	1007647369
1007647371	1007648005
1007648007	1007657001
1007657003	1007657620
1007657622	1007657737
1007657739	1007659533
1007659535	1007659537
1007659539	1007659541
1007659543	1007659810
1007659812	1007659812
1007659816	1007659819
1007659821	1007659928
1007659930	1007659932
1007659934	1007660297
1007660299	1007660301
1007660303	1007660309
1007660311	1007660321
1007660323	1007660325
1007660327	1007660341
1007660343	1007660373
1007660375	1007660401
1007660403	1007660409
1007660411	1007660425
1007660427	1007660433
1007660435	1007660437
1007660439	1007660445
1007660447	1007660465
1007660467	1007660477
1007660479	1007660805
1007660807	1007660809
1007660811	1007660817
1007660819	1007660889
1007660891	1007660929
1007660931	1007660969
1007660971	1007661009
1007661011	1007661041
1007661043	1007661330
1007661332	1007674282
1007674284	1007678849
1007678851	1007680277
1007680279	1007680345
1007680347	1007680377
1007680379	1007680413
1007680415	1007680437
1007680439	1007680445
1007680447	1007680485
1007680487	1007680497
1007680499	1007681067
1007681069	1007681409
1007681411	1007684414
1007684416	1007688573
1007688575	1007689564
1007689566	1007698113
1007698115	1007703217
1007703219	1007709251
1007709253	1007709479
1007709481	1007711505
1007711507	1007747357
1007747359	1007749281
1007749283	1007751168
1007751170	1007751602
1007751604	1007751815
1007751817	1007751912
1007751914	1007752729
1007752731	1007802606
1007802608	1007803826
1007803828	1007804450
1007804452	1007804485
